"Ligand.Name","Canonical.SMILES","Albumin.source.organism","Albumin.concentration,.μM","Method","Scatchard.equation","Temperature,.K"
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"Equilibrium dialysis",FALSE,294
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"Equilibrium dialysis",FALSE,294
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"Equilibrium dialysis",FALSE,294
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"Equilibrium dialysis",FALSE,294
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Homo sapiens",500,"Equilibrium dialysis",FALSE,295
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",0.05,"nanoESI-MS",FALSE,NA
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",0.05,"nanoESI-MS",FALSE,NA
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1,"Equilibrium dialysis",FALSE,295
"PFBA","C(=O)(C(C(C(F)(F)F)(F)F)(F)F)O","Bos taurus",45.1603191329219,"Equilibrium dialysis",FALSE,310
"PFHxA","C(=O)(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",15.053439710974,"Equilibrium dialysis",FALSE,310
"PFHpA","C(=O)(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1.5053439710974,"Equilibrium dialysis",FALSE,310
"PFOA","C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",1.5053439710974,"Equilibrium dialysis",FALSE,310
"PFNA","C(=O)(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",0.752671985548698,"Equilibrium dialysis",FALSE,310
"PFDA","C(=O)(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",0.752671985548698,"Equilibrium dialysis",FALSE,310
"PFUnDA","C(=O)(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O","Bos taurus",0.376335992774349,"Equilibrium dialysis",FALSE,310
